Year;Source;Destination;Count
1990;Eastern Africa;Eastern Africa;4900387
1990;Eastern Africa;Middle Africa;175624
1990;Eastern Africa;Northern Africa;1106236
1990;Eastern Africa;Southern Africa;540300
1990;Eastern Africa;Western Africa;1229
1990;Middle Africa;Eastern Africa;370968
1990;Middle Africa;Middle Africa;798740
1990;Middle Africa;Northern Africa;233083
1990;Middle Africa;Southern Africa;49737
1990;Middle Africa;Western Africa;40282
1990;Northern Africa;Eastern Africa;179281
1990;Northern Africa;Middle Africa;49005
1990;Northern Africa;Northern Africa;309924
1990;Northern Africa;Southern Africa;6450
1990;Northern Africa;Western Africa;15707
1990;Southern Africa;Eastern Africa;36745
1990;Southern Africa;Middle Africa;2867
1990;Southern Africa;Northern Africa;1112
1990;Southern Africa;Southern Africa;295411
1990;Southern Africa;Western Africa;271
1990;Western Africa;Eastern Africa;5911
1990;Western Africa;Middle Africa;209045
1990;Western Africa;Northern Africa;39277
1990;Western Africa;Southern Africa;30465
1990;Western Africa;Western Africa;4033431
1995;Eastern Africa;Eastern Africa;3633661
1995;Eastern Africa;Middle Africa;1424589
1995;Eastern Africa;Northern Africa;912475
1995;Eastern Africa;Southern Africa;518762
1995;Eastern Africa;Western Africa;1560
1995;Middle Africa;Eastern Africa;450933
1995;Middle Africa;Middle Africa;692305
1995;Middle Africa;Northern Africa;121032
1995;Middle Africa;Southern Africa;55237
1995;Middle Africa;Western Africa;42188
1995;Northern Africa;Eastern Africa;343372
1995;Northern Africa;Middle Africa;63046
1995;Northern Africa;Northern Africa;292819
1995;Northern Africa;Southern Africa;5156
1995;Northern Africa;Western Africa;16498
1995;Southern Africa;Eastern Africa;47087
1995;Southern Africa;Middle Africa;3322
1995;Southern Africa;Northern Africa;952
1995;Southern Africa;Southern Africa;235191
1995;Southern Africa;Western Africa;254
1995;Western Africa;Eastern Africa;7363
1995;Western Africa;Middle Africa;231509
1995;Western Africa;Northern Africa;39098
1995;Western Africa;Southern Africa;19994
1995;Western Africa;Western Africa;5021589
2000;Eastern Africa;Eastern Africa;3122941
2000;Eastern Africa;Middle Africa;278904
2000;Eastern Africa;Northern Africa;723706
2000;Eastern Africa;Southern Africa;508352
2000;Eastern Africa;Western Africa;2212
2000;Middle Africa;Eastern Africa;756743
2000;Middle Africa;Middle Africa;865771
2000;Middle Africa;Northern Africa;106674
2000;Middle Africa;Southern Africa;91744
2000;Middle Africa;Western Africa;43665
2000;Northern Africa;Eastern Africa;416596
2000;Northern Africa;Middle Africa;76729
2000;Northern Africa;Northern Africa;276079
2000;Northern Africa;Southern Africa;5084
2000;Northern Africa;Western Africa;16353
2000;Southern Africa;Eastern Africa;50491
2000;Southern Africa;Middle Africa;3770
2000;Southern Africa;Northern Africa;836
2000;Southern Africa;Southern Africa;250697
2000;Southern Africa;Western Africa;247
2000;Western Africa;Eastern Africa;7915
2000;Western Africa;Middle Africa;259537
2000;Western Africa;Northern Africa;39825
2000;Western Africa;Southern Africa;14714
2000;Western Africa;Western Africa;4833494
2005;Eastern Africa;Eastern Africa;2888629
2005;Eastern Africa;Middle Africa;214925
2005;Eastern Africa;Northern Africa;460314
2005;Eastern Africa;Southern Africa;681660
2005;Eastern Africa;Western Africa;2254
2005;Middle Africa;Eastern Africa;788326
2005;Middle Africa;Middle Africa;894777
2005;Middle Africa;Northern Africa;118689
2005;Middle Africa;Southern Africa;99850
2005;Middle Africa;Western Africa;94301
2005;Northern Africa;Eastern Africa;488605
2005;Northern Africa;Middle Africa;288839
2005;Northern Africa;Northern Africa;261794
2005;Northern Africa;Southern Africa;6157
2005;Northern Africa;Western Africa;18897
2005;Southern Africa;Eastern Africa;59456
2005;Southern Africa;Middle Africa;4912
2005;Southern Africa;Northern Africa;953
2005;Southern Africa;Southern Africa;310508
2005;Southern Africa;Western Africa;141
2005;Western Africa;Eastern Africa;10745
2005;Western Africa;Middle Africa;293417
2005;Western Africa;Northern Africa;43038
2005;Western Africa;Southern Africa;18368
2005;Western Africa;Western Africa;5361622
2010;Eastern Africa;Eastern Africa;3078175
2010;Eastern Africa;Middle Africa;186610
2010;Eastern Africa;Northern Africa;571303
2010;Eastern Africa;Southern Africa;1085740
2010;Eastern Africa;Western Africa;2998
2010;Middle Africa;Eastern Africa;800135
2010;Middle Africa;Middle Africa;1049226
2010;Middle Africa;Northern Africa;125021
2010;Middle Africa;Southern Africa;130904
2010;Middle Africa;Western Africa;82864
2010;Northern Africa;Eastern Africa;214886
2010;Northern Africa;Middle Africa;320176
2010;Northern Africa;Northern Africa;294538
2010;Northern Africa;Southern Africa;8501
2010;Northern Africa;Western Africa;45945
2010;Southern Africa;Eastern Africa;63927
2010;Southern Africa;Middle Africa;5963
2010;Southern Africa;Northern Africa;1037
2010;Southern Africa;Southern Africa;455634
2010;Southern Africa;Western Africa;590
2010;Western Africa;Eastern Africa;16052
2010;Western Africa;Middle Africa;311640
2010;Western Africa;Northern Africa;35266
2010;Western Africa;Southern Africa;38034
2010;Western Africa;Western Africa;5646082
2015;Eastern Africa;Eastern Africa;4218033
2015;Eastern Africa;Middle Africa;355514
2015;Eastern Africa;Northern Africa;630901
2015;Eastern Africa;Southern Africa;1405000
2015;Eastern Africa;Western Africa;6359
2015;Middle Africa;Eastern Africa;1029628
2015;Middle Africa;Middle Africa;1425332
2015;Middle Africa;Northern Africa;100188
2015;Middle Africa;Southern Africa;194695
2015;Middle Africa;Western Africa;112726
2015;Northern Africa;Eastern Africa;684649
2015;Northern Africa;Middle Africa;348342
2015;Northern Africa;Northern Africa;310813
2015;Northern Africa;Southern Africa;10683
2015;Northern Africa;Western Africa;58237
2015;Southern Africa;Eastern Africa;63506
2015;Southern Africa;Middle Africa;6820
2015;Southern Africa;Northern Africa;961
2015;Southern Africa;Southern Africa;341022
2015;Southern Africa;Western Africa;2045
2015;Western Africa;Eastern Africa;16446
2015;Western Africa;Middle Africa;457318
2015;Western Africa;Northern Africa;37818
2015;Western Africa;Southern Africa;61977
2015;Western Africa;Western Africa;6321159
2020;Eastern Africa;Eastern Africa;4 989 040
2020;Eastern Africa;Middle Africa;436 882
2020;Eastern Africa;Northern Africa;1 379 123
2020;Eastern Africa;Southern Africa;1 433 038
2020;Eastern Africa;Western Africa;6 606
2020;Middle Africa;Eastern Africa;1 251 025
2020;Middle Africa;Middle Africa;1 570 589
2020;Middle Africa;Northern Africa;144 667
2020;Middle Africa;Southern Africa;187 553
2020;Middle Africa;Western Africa;146 642
2020;Northern Africa;Eastern Africa;708 035
2020;Northern Africa;Middle Africa;401 250
2020;Northern Africa;Northern Africa;354 273
2020;Northern Africa;Southern Africa;12 321
2020;Northern Africa;Western Africa;63 345
2020;Southern Africa;Eastern Africa;66 040
2020;Southern Africa;Middle Africa;7 249
2020;Southern Africa;Northern Africa;1 180
2020;Southern Africa;Southern Africa;360 129
2020;Southern Africa;Western Africa;2 079
2020;Western Africa;Eastern Africa;17 483
2020;Western Africa;Middle Africa;541 785
2020;Western Africa;Northern Africa;44 777
2020;Western Africa;Southern Africa;54 455
2020;Western Africa;Western Africa;6 737 999
