Año;Origen;Destino;Cantidad
1990;Central Asia;Central Asia;433741
1990;Central Asia;Eastern Asia;655
1990;Central Asia;South-Eastern Asia;0
1990;Central Asia;Southern Asia;44209
1990;Central Asia;Western Asia;124218
1990;Eastern Asia;Central Asia;64886
1990;Eastern Asia;Eastern Asia;2846041
1990;Eastern Asia;South-Eastern Asia;707453
1990;Eastern Asia;Southern Asia;191283
1990;Eastern Asia;Western Asia;4129
1990;South-Eastern Asia;Central Asia;410
1990;South-Eastern Asia;Eastern Asia;587623
1990;South-Eastern Asia;South-Eastern Asia;1341305
1990;South-Eastern Asia;Southern Asia;659702
1990;South-Eastern Asia;Western Asia;1341746
1990;Southern Asia;Central Asia;14431
1990;Southern Asia;Eastern Asia;38375
1990;Southern Asia;South-Eastern Asia;193037
1990;Southern Asia;Southern Asia;17802862
1990;Southern Asia;Western Asia;4537153
1990;Western Asia;Central Asia;158106
1990;Western Asia;Eastern Asia;109
1990;Western Asia;South-Eastern Asia;14945
1990;Western Asia;Southern Asia;327595
1990;Western Asia;Western Asia;4047886
1995;Central Asia;Central Asia;432327
1995;Central Asia;Eastern Asia;3014
1995;Central Asia;South-Eastern Asia;0
1995;Central Asia;Southern Asia;40859
1995;Central Asia;Western Asia;105962
1995;Eastern Asia;Central Asia;68901
1995;Eastern Asia;Eastern Asia;3073620
1995;Eastern Asia;South-Eastern Asia;648755
1995;Eastern Asia;Southern Asia;266472
1995;Eastern Asia;Western Asia;13492
1995;South-Eastern Asia;Central Asia;309
1995;South-Eastern Asia;Eastern Asia;697929
1995;South-Eastern Asia;South-Eastern Asia;2231222
1995;South-Eastern Asia;Southern Asia;687220
1995;South-Eastern Asia;Western Asia;1476255
1995;Southern Asia;Central Asia;20039
1995;Southern Asia;Eastern Asia;68373
1995;Southern Asia;South-Eastern Asia;285758
1995;Southern Asia;Southern Asia;13705209
1995;Southern Asia;Western Asia;5107281
1995;Western Asia;Central Asia;152445
1995;Western Asia;Eastern Asia;120
1995;Western Asia;South-Eastern Asia;10669
1995;Western Asia;Southern Asia;302825
1995;Western Asia;Western Asia;4697608
2000;Central Asia;Central Asia;423916
2000;Central Asia;Eastern Asia;6156
2000;Central Asia;South-Eastern Asia;0
2000;Central Asia;Southern Asia;38215
2000;Central Asia;Western Asia;97846
2000;Eastern Asia;Central Asia;72858
2000;Eastern Asia;Eastern Asia;3355873
2000;Eastern Asia;South-Eastern Asia;641051
2000;Eastern Asia;Southern Asia;250409
2000;Eastern Asia;Western Asia;22778
2000;South-Eastern Asia;Central Asia;205
2000;South-Eastern Asia;Eastern Asia;882386
2000;South-Eastern Asia;South-Eastern Asia;3454008
2000;South-Eastern Asia;Southern Asia;715035
2000;South-Eastern Asia;Western Asia;1613525
2000;Southern Asia;Central Asia;22734
2000;Southern Asia;Eastern Asia;93572
2000;Southern Asia;South-Eastern Asia;432764
2000;Southern Asia;Southern Asia;13337621
2000;Southern Asia;Western Asia;5843682
2000;Western Asia;Central Asia;146848
2000;Western Asia;Eastern Asia;133
2000;Western Asia;South-Eastern Asia;16838
2000;Western Asia;Southern Asia;261590
2000;Western Asia;Western Asia;5194390
2005;Central Asia;Central Asia;462141
2005;Central Asia;Eastern Asia;11867
2005;Central Asia;South-Eastern Asia;0
2005;Central Asia;Southern Asia;34321
2005;Central Asia;Western Asia;93469
2005;Eastern Asia;Central Asia;82814
2005;Eastern Asia;Eastern Asia;4054130
2005;Eastern Asia;South-Eastern Asia;687353
2005;Eastern Asia;Southern Asia;278241
2005;Eastern Asia;Western Asia;19068
2005;South-Eastern Asia;Central Asia;175
2005;South-Eastern Asia;Eastern Asia;1070752
2005;South-Eastern Asia;South-Eastern Asia;4628633
2005;South-Eastern Asia;Southern Asia;692752
2005;South-Eastern Asia;Western Asia;1944236
2005;Southern Asia;Central Asia;17174
2005;Southern Asia;Eastern Asia;124518
2005;Southern Asia;South-Eastern Asia;771338
2005;Southern Asia;Southern Asia;11804035
2005;Southern Asia;Western Asia;7605717
2005;Western Asia;Central Asia;153495
2005;Western Asia;Eastern Asia;148
2005;Western Asia;South-Eastern Asia;19657
2005;Western Asia;Southern Asia;215376
2005;Western Asia;Western Asia;6096477
2010;Central Asia;Central Asia;459911
2010;Central Asia;Eastern Asia;32244
2010;Central Asia;South-Eastern Asia;0
2010;Central Asia;Southern Asia;28686
2010;Central Asia;Western Asia;89669
2010;Eastern Asia;Central Asia;92752
2010;Eastern Asia;Eastern Asia;4724730
2010;Eastern Asia;South-Eastern Asia;774279
2010;Eastern Asia;Southern Asia;301516
2010;Eastern Asia;Western Asia;27812
2010;South-Eastern Asia;Central Asia;146
2010;South-Eastern Asia;Eastern Asia;1234386
2010;South-Eastern Asia;South-Eastern Asia;5954082
2010;South-Eastern Asia;Southern Asia;856870
2010;South-Eastern Asia;Western Asia;2894751
2010;Southern Asia;Central Asia;16622
2010;Southern Asia;Eastern Asia;151919
2010;Southern Asia;South-Eastern Asia;1211135
2010;Southern Asia;Southern Asia;12185080
2010;Southern Asia;Western Asia;12515447
2010;Western Asia;Central Asia;158441
2010;Western Asia;Eastern Asia;180
2010;Western Asia;South-Eastern Asia;19672
2010;Western Asia;Southern Asia;220986
2010;Western Asia;Western Asia;7874073
2015;Central Asia;Central Asia;470242
2015;Central Asia;Eastern Asia;45633
2015;Central Asia;South-Eastern Asia;0
2015;Central Asia;Southern Asia;18589
2015;Central Asia;Western Asia;90728
2015;Eastern Asia;Central Asia;98162
2015;Eastern Asia;Eastern Asia;5070782
2015;Eastern Asia;South-Eastern Asia;868560
2015;Eastern Asia;Southern Asia;314254
2015;Eastern Asia;Western Asia;25561
2015;South-Eastern Asia;Central Asia;130
2015;South-Eastern Asia;Eastern Asia;1569277
2015;South-Eastern Asia;South-Eastern Asia;6781878
2015;South-Eastern Asia;Southern Asia;867564
2015;South-Eastern Asia;Western Asia;3597730
2015;Southern Asia;Central Asia;16447
2015;Southern Asia;Eastern Asia;186270
2015;Southern Asia;South-Eastern Asia;1649043
2015;Southern Asia;Southern Asia;11559506
2015;Southern Asia;Western Asia;15897556
2015;Western Asia;Central Asia;161964
2015;Western Asia;Eastern Asia;222
2015;Western Asia;South-Eastern Asia;21890
2015;Western Asia;Southern Asia;184290
2015;Western Asia;Western Asia;12158238
2020;Central Asia;Central Asia;484776
2020;Central Asia;Eastern Asia;59664
2020;Central Asia;South-Eastern Asia;0
2020;Central Asia;Southern Asia;7028
2020;Central Asia;Western Asia;95152
2020;Eastern Asia;Central Asia;103107
2020;Eastern Asia;Eastern Asia;5342694
2020;Eastern Asia;South-Eastern Asia;896162
2020;Eastern Asia;Southern Asia;307829
2020;Eastern Asia;Western Asia;31898
2020;South-Eastern Asia;Central Asia;123
2020;South-Eastern Asia;Eastern Asia;2040250
2020;South-Eastern Asia;South-Eastern Asia;7088821
2020;South-Eastern Asia;Southern Asia;1520414
2020;South-Eastern Asia;Western Asia;4294915
2020;Southern Asia;Central Asia;16439
2020;Southern Asia;Eastern Asia;258218
2020;Southern Asia;South-Eastern Asia;1733636
2020;Southern Asia;Southern Asia;10945934
2020;Southern Asia;Western Asia;18979129
2020;Western Asia;Central Asia;166980
2020;Western Asia;Eastern Asia;236
2020;Western Asia;South-Eastern Asia;23055
2020;Western Asia;Southern Asia;163263
2020;Western Asia;Western Asia;13938039
