Año;Origen;Destino;Cantidad
1990;Eastern Europe;Eastern Europe;12821259
1990;Eastern Europe;Northern Europe;1456135
1990;Eastern Europe;Southern Europe;191791
1990;Eastern Europe;Western Europe;1570589
1990;Northern Europe;Eastern Europe;464948
1990;Northern Europe;Northern Europe;1397623
1990;Northern Europe;Southern Europe;216382
1990;Northern Europe;Western Europe;441962
1990;Southern Europe;Eastern Europe;98312
1990;Southern Europe;Northern Europe;319200
1990;Southern Europe;Southern Europe;1177322
1990;Southern Europe;Western Europe;4871285
1990;Western Europe;Eastern Europe;398873
1990;Western Europe;Northern Europe;456425
1990;Western Europe;Southern Europe;672348
1990;Western Europe;Western Europe;1812908
1995;Eastern Europe;Eastern Europe;12066901
1995;Eastern Europe;Northern Europe;1259299
1995;Eastern Europe;Southern Europe;337770
1995;Eastern Europe;Western Europe;2300914
1995;Northern Europe;Eastern Europe;467926
1995;Northern Europe;Northern Europe;1372966
1995;Northern Europe;Southern Europe;212990
1995;Northern Europe;Western Europe;494636
1995;Southern Europe;Eastern Europe;88204
1995;Southern Europe;Northern Europe;384633
1995;Southern Europe;Southern Europe;2260434
1995;Southern Europe;Western Europe;5171636
1995;Western Europe;Eastern Europe;384231
1995;Western Europe;Northern Europe;524000
1995;Western Europe;Southern Europe;734905
1995;Western Europe;Western Europe;1927398
2000;Eastern Europe;Eastern Europe;11280907
2000;Eastern Europe;Northern Europe;1090507
2000;Eastern Europe;Southern Europe;491125
2000;Eastern Europe;Western Europe;3236221
2000;Northern Europe;Eastern Europe;465396
2000;Northern Europe;Northern Europe;1426435
2000;Northern Europe;Southern Europe;252073
2000;Northern Europe;Western Europe;548446
2000;Southern Europe;Eastern Europe;79377
2000;Southern Europe;Northern Europe;446082
2000;Southern Europe;Southern Europe;2816043
2000;Southern Europe;Western Europe;5507896
2000;Western Europe;Eastern Europe;369761
2000;Western Europe;Northern Europe;601177
2000;Western Europe;Southern Europe;938381
2000;Western Europe;Western Europe;2041136
2005;Eastern Europe;Eastern Europe;10536332
2005;Eastern Europe;Northern Europe;1529268
2005;Eastern Europe;Southern Europe;1809979
2005;Eastern Europe;Western Europe;3995603
2005;Northern Europe;Eastern Europe;451241
2005;Northern Europe;Northern Europe;1586970
2005;Northern Europe;Southern Europe;419058
2005;Northern Europe;Western Europe;596007
2005;Southern Europe;Eastern Europe;102879
2005;Southern Europe;Northern Europe;552320
2005;Southern Europe;Southern Europe;2868972
2005;Southern Europe;Western Europe;4390778
2005;Western Europe;Eastern Europe;363211
2005;Western Europe;Northern Europe;661371
2005;Western Europe;Southern Europe;1256152
2005;Western Europe;Western Europe;2295834
2010;Eastern Europe;Eastern Europe;9921835
2010;Eastern Europe;Northern Europe;1932685
2010;Eastern Europe;Southern Europe;3216418
2010;Eastern Europe;Western Europe;4735281
2010;Northern Europe;Eastern Europe;437694
2010;Northern Europe;Northern Europe;1719876
2010;Northern Europe;Southern Europe;578333
2010;Northern Europe;Western Europe;643747
2010;Southern Europe;Eastern Europe;130707
2010;Southern Europe;Northern Europe;634517
2010;Southern Europe;Southern Europe;3226996
2010;Southern Europe;Western Europe;4226213
2010;Western Europe;Eastern Europe;357785
2010;Western Europe;Northern Europe;770507
2010;Western Europe;Southern Europe;1608121
2010;Western Europe;Western Europe;2542909
2015;Eastern Europe;Eastern Europe;10256237
2015;Eastern Europe;Northern Europe;2403221
2015;Eastern Europe;Southern Europe;3132684
2015;Eastern Europe;Western Europe;5111104
2015;Northern Europe;Eastern Europe;453951
2015;Northern Europe;Northern Europe;1885586
2015;Northern Europe;Southern Europe;570343
2015;Northern Europe;Western Europe;667479
2015;Southern Europe;Eastern Europe;206512
2015;Southern Europe;Northern Europe;788876
2015;Southern Europe;Southern Europe;3163927
2015;Southern Europe;Western Europe;4322241
2015;Western Europe;Eastern Europe;376359
2015;Western Europe;Northern Europe;829519
2015;Western Europe;Southern Europe;1566312
2015;Western Europe;Western Europe;2683893
2020;Eastern Europe;Eastern Europe;10787095
2020;Eastern Europe;Northern Europe;2804341
2020;Eastern Europe;Southern Europe;3253702
2020;Eastern Europe;Western Europe;7043559
2020;Northern Europe;Eastern Europe;546407
2020;Northern Europe;Northern Europe;2037623
2020;Northern Europe;Southern Europe;603637
2020;Northern Europe;Western Europe;786526
2020;Southern Europe;Eastern Europe;326399
2020;Southern Europe;Northern Europe;1036509
2020;Southern Europe;Southern Europe;3305291
2020;Southern Europe;Western Europe;5652638
2020;Western Europe;Eastern Europe;498007
2020;Western Europe;Northern Europe;912528
2020;Western Europe;Southern Europe;1630782
2020;Western Europe;Western Europe;3021381
