Año;Origen;Destino;Cantidad
1990;Caribbean;Caribbean;437177
1990;Caribbean;Central America;20425
1990;Caribbean;South America;66348
1990;Central America;Caribbean;16519
1990;Central America;Central America;1195652
1990;Central America;South America;41030
1990;South America;Caribbean;65570
1990;South America;Central America;60959
1990;South America;South America;2077128
1995;Caribbean;Caribbean;489402
1995;Caribbean;Central America;23127
1995;Caribbean;South America;67312
1995;Central America;Caribbean;17457
1995;Central America;Central America;622093
1995;Central America;South America;41379
1995;South America;Caribbean;76204
1995;South America;Central America;70521
1995;South America;South America;2262888
2000;Caribbean;Caribbean;540565
2000;Caribbean;Central America;29325
2000;Caribbean;South America;69258
2000;Central America;Caribbean;18786
2000;Central America;Central America;450936
2000;Central America;South America;42031
2000;South America;Caribbean;88463
2000;South America;Central America;88535
2000;South America;South America;2449677
2005;Caribbean;Caribbean;601238
2005;Caribbean;Central America;29231
2005;Caribbean;South America;72725
2005;Central America;Caribbean;17444
2005;Central America;Central America;503647
2005;Central America;South America;42472
2005;South America;Caribbean;84685
2005;South America;Central America;111927
2005;South America;South America;2894144
2010;Caribbean;Caribbean;663895
2010;Caribbean;Central America;38125
2010;Caribbean;South America;79135
2010;Central America;Caribbean;15516
2010;Central America;Central America;572815
2010;Central America;South America;46712
2010;South America;Caribbean;91798
2010;South America;Central America;169444
2010;South America;South America;3666744
2015;Caribbean;Caribbean;832854
2015;Caribbean;Central America;41860
2015;Caribbean;South America;118757
2015;Central America;Caribbean;15379
2015;Central America;Central America;620056
2015;Central America;South America;56300
2015;South America;Caribbean;92380
2015;South America;Central America;197697
2015;South America;South America;4191443
2020;Caribbean;Caribbean;859403
2020;Caribbean;Central America;51844
2020;Caribbean;South America;424484
2020;Central America;Caribbean;14137
2020;Central America;Central America;743476
2020;Central America;South America;70263
2020;South America;Caribbean;177107
2020;South America;Central America;398956
2020;South America;South America;8557503
