Año;Origen;Destino;Cantidad
1990;Australia and New Zealand;Australia and New Zealand;346087
1990;Australia and New Zealand;Melanesia;20394
1990;Australia and New Zealand;Micronesia;340
1990;Australia and New Zealand;Polynesia;4300
1990;Melanesia;Australia and New Zealand;58153
1990;Melanesia;Melanesia;6503
1990;Melanesia;Micronesia;524
1990;Melanesia;Polynesia;3705
1990;Micronesia;Australia and New Zealand;1479
1990;Micronesia;Melanesia;1701
1990;Micronesia;Micronesia;13876
1990;Micronesia;Polynesia;95
1990;Polynesia;Australia and New Zealand;93139
1990;Polynesia;Melanesia;10248
1990;Polynesia;Micronesia;730
1990;Polynesia;Polynesia;17809
1995;Australia and New Zealand;Australia and New Zealand;364148
1995;Australia and New Zealand;Melanesia;20791
1995;Australia and New Zealand;Micronesia;328
1995;Australia and New Zealand;Polynesia;4876
1995;Melanesia;Australia and New Zealand;63686
1995;Melanesia;Melanesia;6949
1995;Melanesia;Micronesia;544
1995;Melanesia;Polynesia;4199
1995;Micronesia;Australia and New Zealand;1705
1995;Micronesia;Melanesia;1680
1995;Micronesia;Micronesia;16373
1995;Micronesia;Polynesia;93
1995;Polynesia;Australia and New Zealand;97711
1995;Polynesia;Melanesia;11542
1995;Polynesia;Micronesia;670
1995;Polynesia;Polynesia;19840
2000;Australia and New Zealand;Australia and New Zealand;419804
2000;Australia and New Zealand;Melanesia;16506
2000;Australia and New Zealand;Micronesia;319
2000;Australia and New Zealand;Polynesia;5452
2000;Melanesia;Australia and New Zealand;76516
2000;Melanesia;Melanesia;7180
2000;Melanesia;Micronesia;563
2000;Melanesia;Polynesia;4731
2000;Micronesia;Australia and New Zealand;1532
2000;Micronesia;Melanesia;1632
2000;Micronesia;Micronesia;18971
2000;Micronesia;Polynesia;88
2000;Polynesia;Australia and New Zealand;113111
2000;Polynesia;Melanesia;12840
2000;Polynesia;Micronesia;610
2000;Polynesia;Polynesia;21853
2005;Australia and New Zealand;Australia and New Zealand;483479
2005;Australia and New Zealand;Melanesia;16663
2005;Australia and New Zealand;Micronesia;313
2005;Australia and New Zealand;Polynesia;5699
2005;Melanesia;Australia and New Zealand;96137
2005;Melanesia;Melanesia;7273
2005;Melanesia;Micronesia;675
2005;Melanesia;Polynesia;5158
2005;Micronesia;Australia and New Zealand;1996
2005;Micronesia;Melanesia;1291
2005;Micronesia;Micronesia;20928
2005;Micronesia;Polynesia;85
2005;Polynesia;Australia and New Zealand;121890
2005;Polynesia;Melanesia;11280
2005;Polynesia;Micronesia;597
2005;Polynesia;Polynesia;20955
2010;Australia and New Zealand;Australia and New Zealand;580866
2010;Australia and New Zealand;Melanesia;15001
2010;Australia and New Zealand;Micronesia;161
2010;Australia and New Zealand;Polynesia;6025
2010;Melanesia;Australia and New Zealand;115782
2010;Melanesia;Melanesia;7413
2010;Melanesia;Micronesia;699
2010;Melanesia;Polynesia;5099
2010;Micronesia;Australia and New Zealand;2568
2010;Micronesia;Melanesia;1036
2010;Micronesia;Micronesia;20683
2010;Micronesia;Polynesia;89
2010;Polynesia;Australia and New Zealand;132990
2010;Polynesia;Melanesia;9835
2010;Polynesia;Micronesia;367
2010;Polynesia;Polynesia;19890
2015;Australia and New Zealand;Australia and New Zealand;640591
2015;Australia and New Zealand;Melanesia;15144
2015;Australia and New Zealand;Micronesia;177
2015;Australia and New Zealand;Polynesia;5722
2015;Melanesia;Australia and New Zealand;134054
2015;Melanesia;Melanesia;6342
2015;Melanesia;Micronesia;770
2015;Melanesia;Polynesia;5169
2015;Micronesia;Australia and New Zealand;3083
2015;Micronesia;Melanesia;1040
2015;Micronesia;Micronesia;20547
2015;Micronesia;Polynesia;85
2015;Polynesia;Australia and New Zealand;146779
2015;Polynesia;Melanesia;13838
2015;Polynesia;Micronesia;387
2015;Polynesia;Polynesia;19522
2020;Australia and New Zealand;Australia and New Zealand;696555
2020;Australia and New Zealand;Melanesia;15282
2020;Australia and New Zealand;Micronesia;188
2020;Australia and New Zealand;Polynesia;5902
2020;Melanesia;Australia and New Zealand;152722
2020;Melanesia;Melanesia;6570
2020;Melanesia;Micronesia;826
2020;Melanesia;Polynesia;5171
2020;Micronesia;Australia and New Zealand;4096
2020;Micronesia;Melanesia;1051
2020;Micronesia;Micronesia;21575
2020;Micronesia;Polynesia;81
2020;Polynesia;Australia and New Zealand;163178
2020;Polynesia;Melanesia;14602
2020;Polynesia;Micronesia;407
2020;Polynesia;Polynesia;19500
