origen,lon_origen,lat_origen,destino,lon_destino,lat_destino,year,num_migrantes,genero
Eastern Africa,39.0,-6.5,Eastern Africa,39.0,-6.5,1990,2524242,male
Middle Africa,17.0,1.0,Eastern Africa,39.0,-6.5,1990,184794,male
Northern Africa,18.0,28.0,Eastern Africa,39.0,-6.5,1990,90526,male
Southern Africa,24.0,-29.0,Eastern Africa,39.0,-6.5,1990,19714,male
Western Africa,-2.0,16.0,Eastern Africa,39.0,-6.5,1990,3439,male
Central Asia,63.0,48.0,Eastern Africa,39.0,-6.5,1990,0,male
Eastern Asia,116.0,39.0,Eastern Africa,39.0,-6.5,1990,1573,male
South-Eastern Asia,108.0,4.0,Eastern Africa,39.0,-6.5,1990,44,male
Southern Asia,78.0,23.0,Eastern Africa,39.0,-6.5,1990,10030,male
Western Asia,40.0,33.0,Eastern Africa,39.0,-6.5,1990,175,male
Eastern Europe,30.0,50.0,Eastern Africa,39.0,-6.5,1990,184,male
Northern Europe,15.0,60.0,Eastern Africa,39.0,-6.5,1990,13934,male
Southern Europe,15.0,41.0,Eastern Africa,39.0,-6.5,1990,1789,male
Western Europe,2.0,48.0,Eastern Africa,39.0,-6.5,1990,27577,male
Caribbean,-75.0,18.0,Eastern Africa,39.0,-6.5,1990,124,male
Central America,-86.0,15.0,Eastern Africa,39.0,-6.5,1990,0,male
South America,-60.0,-10.0,Eastern Africa,39.0,-6.5,1990,0,male
NORTHERN AMERICA,-100.0,45.0,Eastern Africa,39.0,-6.5,1990,1250,male
OCEANIA,140.0,-25.0,Eastern Africa,39.0,-6.5,1990,69,male
Eastern Africa,39.0,-6.5,Middle Africa,17.0,1.0,1990,84647,male
Middle Africa,17.0,1.0,Middle Africa,17.0,1.0,1990,390605,male
Northern Africa,18.0,28.0,Middle Africa,17.0,1.0,1990,25080,male
Southern Africa,24.0,-29.0,Middle Africa,17.0,1.0,1990,1521,male
Western Africa,-2.0,16.0,Middle Africa,17.0,1.0,1990,122925,male
Central Asia,63.0,48.0,Middle Africa,17.0,1.0,1990,0,male
Eastern Asia,116.0,39.0,Middle Africa,17.0,1.0,1990,408,male
