origen,lon_origen,lat_origen,destino,lon_destino,lat_destino,year,num_migrantes
Eastern Africa,39.0,-6.5,Eastern Africa,39.0,-6.5,1990,4900387
Middle Africa,17.0,1.0,Eastern Africa,39.0,-6.5,1990,370968
Northern Africa,18.0,28.0,Eastern Africa,39.0,-6.5,1990,179281
Southern Africa,24.0,-29.0,Eastern Africa,39.0,-6.5,1990,36745
Western Africa,-2.0,16.0,Eastern Africa,39.0,-6.5,1990,5911
Central Asia,63.0,48.0,Eastern Africa,39.0,-6.5,1990,0
Eastern Asia,116.0,39.0,Eastern Africa,39.0,-6.5,1990,2568
South-Eastern Asia,108.0,4.0,Eastern Africa,39.0,-6.5,1990,104
Southern Asia,78.0,23.0,Eastern Africa,39.0,-6.5,1990,17476
Western Asia,40.0,33.0,Eastern Africa,39.0,-6.5,1990,357
Eastern Europe,30.0,50.0,Eastern Africa,39.0,-6.5,1990,418
Northern Europe,15.0,60.0,Eastern Africa,39.0,-6.5,1990,24848
Southern Europe,15.0,41.0,Eastern Africa,39.0,-6.5,1990,2602
Western Europe,2.0,48.0,Eastern Africa,39.0,-6.5,1990,50100
Caribbean,-75.0,18.0,Eastern Africa,39.0,-6.5,1990,164
Central America,-86.0,15.0,Eastern Africa,39.0,-6.5,1990,0
South America,-60.0,-10.0,Eastern Africa,39.0,-6.5,1990,0
NORTHERN AMERICA,-100.0,45.0,Eastern Africa,39.0,-6.5,1990,2334
OCEANIA,140.0,-25.0,Eastern Africa,39.0,-6.5,1990,148
Eastern Africa,39.0,-6.5,Middle Africa,17.0,1.0,1990,175624
Middle Africa,17.0,1.0,Middle Africa,17.0,1.0,1990,798740
Northern Africa,18.0,28.0,Middle Africa,17.0,1.0,1990,49005
Southern Africa,24.0,-29.0,Middle Africa,17.0,1.0,1990,2867
Western Africa,-2.0,16.0,Middle Africa,17.0,1.0,1990,209045
Central Asia,63.0,48.0,Middle Africa,17.0,1.0,1990,0
Eastern Asia,116.0,39.0,Middle Africa,17.0,1.0,1990,510
South-Eastern Asia,108.0,4.0,Middle Africa,17.0,1.0,1990,0
Southern Asia,78.0,23.0,Middle Africa,17.0,1.0,1990,0
Western Asia,40.0,33.0,Middle Africa,17.0,1.0,1990,1156
Eastern Europe,30.0,50.0,Middle Africa,17.0,1.0,1990,953
Northern Europe,15.0,60.0,Middle Africa,17.0,1.0,1990,12
Southern Europe,15.0,41.0,Middle Africa,17.0,1.0,1990,6292
Western Europe,2.0,48.0,Middle Africa,17.0,1.0,1990,38476
Caribbean,-75.0,18.0,Middle Africa,17.0,1.0,1990,164
Central America,-86.0,15.0,Middle Africa,17.0,1.0,1990,0
South America,-60.0,-10.0,Middle Africa,17.0,1.0,1990,0
NORTHERN AMERICA,-100.0,45.0,Middle Africa,17.0,1.0,1990,805
OCEANIA,140.0,-25.0,Middle Africa,17.0,1.0,1990,9
Eastern Africa,39.0,-6.5,Northern Africa,18.0,28.0,1990,1106236
Middle Africa,17.0,1.0,Northern Africa,18.0,28.0,1990,233083
Northern Africa,18.0,28.0,Northern Africa,18.0,28.0,1990,309924
Southern Africa,24.0,-29.0,Northern Africa,18.0,28.0,1990,1112
Western Africa,-2.0,16.0,Northern Africa,18.0,28.0,1990,39277
Central Asia,63.0,48.0,Northern Africa,18.0,28.0,1990,1180
Eastern Asia,116.0,39.0,Northern Africa,18.0,28.0,1990,10340
South-Eastern Asia,108.0,4.0,Northern Africa,18.0,28.0,1990,24461
Southern Asia,78.0,23.0,Northern Africa,18.0,28.0,1990,9663
Western Asia,40.0,33.0,Northern Africa,18.0,28.0,1990,360197
Eastern Europe,30.0,50.0,Northern Africa,18.0,28.0,1990,46742
Northern Europe,15.0,60.0,Northern Africa,18.0,28.0,1990,18365
Southern Europe,15.0,41.0,Northern Africa,18.0,28.0,1990,34419
Western Europe,2.0,48.0,Northern Africa,18.0,28.0,1990,96366
Caribbean,-75.0,18.0,Northern Africa,18.0,28.0,1990,25
Central America,-86.0,15.0,Northern Africa,18.0,28.0,1990,696
South America,-60.0,-10.0,Northern Africa,18.0,28.0,1990,970
NORTHERN AMERICA,-100.0,45.0,Northern Africa,18.0,28.0,1990,33018
OCEANIA,140.0,-25.0,Northern Africa,18.0,28.0,1990,2138
Eastern Africa,39.0,-6.5,Southern Africa,24.0,-29.0,1990,540300
Middle Africa,17.0,1.0,Southern Africa,24.0,-29.0,1990,49737
Northern Africa,18.0,28.0,Southern Africa,24.0,-29.0,1990,6450
Southern Africa,24.0,-29.0,Southern Africa,24.0,-29.0,1990,295411
Western Africa,-2.0,16.0,Southern Africa,24.0,-29.0,1990,30465
Central Asia,63.0,48.0,Southern Africa,24.0,-29.0,1990,0
Eastern Asia,116.0,39.0,Southern Africa,24.0,-29.0,1990,19306
South-Eastern Asia,108.0,4.0,Southern Africa,24.0,-29.0,1990,5172
Southern Asia,78.0,23.0,Southern Africa,24.0,-29.0,1990,18755
Western Asia,40.0,33.0,Southern Africa,24.0,-29.0,1990,7079
Eastern Europe,30.0,50.0,Southern Africa,24.0,-29.0,1990,12016
Northern Europe,15.0,60.0,Southern Africa,24.0,-29.0,1990,132789
Southern Europe,15.0,41.0,Southern Africa,24.0,-29.0,1990,39038
Western Europe,2.0,48.0,Southern Africa,24.0,-29.0,1990,88022
Caribbean,-75.0,18.0,Southern Africa,24.0,-29.0,1990,2386
