origen,destino,year,num_migrantes,continentes
Eastern Africa,High-income countries,1990,987807,África
Middle Africa,High-income countries,1990,421086,África
Northern Africa,High-income countries,1990,4373600,África
Southern Africa,High-income countries,1990,238882,África
Western Africa,High-income countries,1990,726588,África
Central Asia,High-income countries,1990,187172,Asia
Eastern Asia,High-income countries,1990,5881506,Asia
South-Eastern Asia,High-income countries,1990,5599207,Asia
Southern Asia,High-income countries,1990,7231399,Asia
Western Asia,High-income countries,1990,4975410,Asia
Eastern Europe,High-income countries,1990,6728213,Europa
Northern Europe,High-income countries,1990,5585092,Europa
Southern Europe,High-income countries,1990,8750149,Europa
Western Europe,High-income countries,1990,5140451,Europa
Caribbean,High-income countries,1990,3792515,Latinoamerica
Central America,High-income countries,1990,5590653,Latinoamerica
South America,High-income countries,1990,2223779,Latinoamerica
Eastern Africa,Middle-income countries,1990,2099627,África
Middle Africa,Middle-income countries,1990,538525,África
Northern Africa,Middle-income countries,1990,633511,África
Southern Africa,Middle-income countries,1990,325873,África
Western Africa,Middle-income countries,1990,2845406,África
Central Asia,Middle-income countries,1990,5449081,Asia
Eastern Asia,Middle-income countries,1990,1135152,Asia
South-Eastern Asia,Middle-income countries,1990,2121488,Asia
Southern Asia,Middle-income countries,1990,18123683,Asia
Western Asia,Middle-income countries,1990,5834744,Asia
Eastern Europe,Middle-income countries,1990,17679351,Europa
Northern Europe,Middle-income countries,1990,634935,Europa
Southern Europe,Middle-income countries,1990,1866037,Europa
Western Europe,Middle-income countries,1990,810773,Europa
Caribbean,Middle-income countries,1990,288516,Latinoamerica
Central America,Middle-income countries,1990,1231803,Latinoamerica
South America,Middle-income countries,1990,2054624,Latinoamerica
Eastern Africa,Low-income countries,1990,4678450,África
Middle Africa,Low-income countries,1990,962632,África
Northern Africa,Low-income countries,1990,279291,África
Southern Africa,Low-income countries,1990,11965,África
Western Africa,Low-income countries,1990,1476645,África
Central Asia,Low-income countries,1990,83639,Asia
Eastern Asia,Low-income countries,1990,31337,Asia
South-Eastern Asia,Low-income countries,1990,3780,Asia
Southern Asia,Low-income countries,1990,28966,Asia
Western Asia,Low-income countries,1990,268101,Asia
Eastern Europe,Low-income countries,1990,372109,Europa
Northern Europe,Low-income countries,1990,5798,Europa
Southern Europe,Low-income countries,1990,6166,Europa
Western Europe,Low-income countries,1990,31602,Europa
Caribbean,Low-income countries,1990,5397,Latinoamerica
Central America,Low-income countries,1990,580,Latinoamerica
South America,Low-income countries,1990,5588,Latinoamerica
Eastern Africa,High-income countries,1995,1162407,África
Middle Africa,High-income countries,1995,486852,África
Northern Africa,High-income countries,1995,4694022,África
Southern Africa,High-income countries,1995,316021,África
Western Africa,High-income countries,1995,966527,África
Central Asia,High-income countries,1995,454968,Asia
Eastern Asia,High-income countries,1995,7017514,Asia
South-Eastern Asia,High-income countries,1995,6888567,Asia
Southern Asia,High-income countries,1995,8761448,Asia
Western Asia,High-income countries,1995,5544570,Asia
Eastern Europe,High-income countries,1995,7564119,Europa
Northern Europe,High-income countries,1995,5548653,Europa
Southern Europe,High-income countries,1995,9637948,Europa
Western Europe,High-income countries,1995,5393705,Europa
Caribbean,High-income countries,1995,4663118,Latinoamerica
Central America,High-income countries,1995,8630101,Latinoamerica
South America,High-income countries,1995,3081437,Latinoamerica
Eastern Africa,Middle-income countries,1995,2630977,África
Middle Africa,Middle-income countries,1995,646866,África
